team name,overs range,cummulative overs,total_run_in_over_range,cummulative_sum,cumulative S/R,wickets left,avg_predicted_score,total_runs_in_match
csk,A,4,17,17,70.83333333,8,85,156
csk,B,8,30,47,97.91666667,8,117.5,156
csk,C,12,26,73,101.3888889,8,121.6666667,156
csk,D,16,41,114,118.75,7,142.5,156
csk,E,20,42,156,130,5,156,156
csk,A,4,11,11,45.83333333,10,55,119
csk,B,8,23,34,70.83333333,8,85,119
csk,C,12,26,60,83.33333333,7,100,119
csk,D,16,26,86,89.58333333,6,107.5,119
csk,E,20,33,119,99.16666667,4,119,119
csk,A,4,30,30,125,10,150,158
csk,B,8,29,59,122.9166667,9,147.5,158
csk,C,12,21,80,111.1111111,7,133.3333333,158
csk,D,16,28,108,112.5,6,135,158
csk,E,20,50,158,131.6666667,5,158,158
csk,A,4,22,22,91.66666667,9,110,148
csk,B,8,26,48,100,8,120,148
csk,C,12,31,79,109.7222222,8,131.6666667,148
csk,D,16,34,113,117.7083333,6,141.25,148
csk,E,20,35,148,123.3333333,1,148,148
csk,A,4,52,52,216.6666667,8,260,165
csk,B,8,28,80,166.6666667,5,200,165
csk,C,12,21,101,140.2777778,5,168.3333333,165
csk,D,16,27,128,133.3333333,5,160,165
csk,E,20,37,165,137.5,1,165,165
csk,A,4,38,38,158.3333333,10,190,134
csk,B,8,23,61,127.0833333,9,152.5,134
csk,C,12,24,85,118.0555556,6,141.6666667,134
csk,D,16,21,106,110.4166667,5,132.5,134
csk,E,20,28,134,111.6666667,4,134,134
csk,A,4,47,47,195.8333333,10,235,192
csk,B,8,34,81,168.75,9,202.5,192
csk,C,12,35,116,161.1111111,9,193.3333333,192
csk,D,16,37,153,159.375,7,191.25,192
csk,E,20,39,192,160,7,192,192
csk,A,4,29,29,120.8333333,9,145,181
csk,B,8,35,64,133.3333333,9,160,181
csk,C,12,41,105,145.8333333,8,175,181
csk,D,16,35,140,145.8333333,5,175,181
csk,E,20,41,181,150.8333333,2,181,181
csk,A,4,38,38,158.3333333,8,190,150
csk,B,8,33,71,147.9166667,8,177.5,150
csk,C,12,25,96,133.3333333,7,160,150
csk,D,16,23,119,123.9583333,5,148.75,150
csk,E,20,31,150,125,3,150,150
csk,A,4,28,28,116.6666667,9,140,156
csk,B,8,21,49,102.0833333,7,122.5,156
csk,C,12,36,85,118.0555556,6,141.6666667,156
csk,D,16,28,113,117.7083333,6,141.25,156
csk,E,20,43,156,130,6,156,156
csk,A,4,34,34,141.6666667,10,170,209
csk,B,8,41,75,156.25,10,187.5,209
csk,C,12,44,119,165.2777778,9,198.3333333,209
csk,D,16,33,152,158.3333333,8,190,209
csk,E,20,57,209,174.1666667,6,209,209
csk,A,4,25,25,104.1666667,9,125,177
csk,B,8,21,46,95.83333333,9,115,177
csk,C,12,44,90,125,8,150,177
csk,D,16,29,119,123.9583333,7,148.75,177
csk,E,20,58,177,147.5,3,177,177
csk,A,4,20,20,83.33333333,9,100,140
csk,B,8,43,63,131.25,9,157.5,140
csk,C,12,18,81,112.5,8,135,140
csk,D,16,25,106,110.4166667,7,132.5,140
csk,E,20,34,140,116.6666667,7,140,140
csk,A,4,29,29,120.8333333,9,145,148
csk,B,8,30,59,122.9166667,9,147.5,148
csk,C,12,43,102,141.6666667,8,170,148
csk,D,16,31,133,138.5416667,7,166.25,148
csk,E,20,15,148,123.3333333,7,148,148
csk,A,4,25,25,104.1666667,10,125,138
csk,B,8,23,48,100,8,120,138
csk,C,12,29,77,106.9444444,7,128.3333333,138
csk,D,16,37,114,118.75,7,142.5,138
csk,E,20,24,138,115,6,138,138
csk,A,4,27,27,112.5,9,135,154
csk,B,8,23,50,104.1666667,9,125,154
csk,C,12,21,71,98.61111111,8,118.3333333,154
csk,D,16,49,120,125,8,150,154
csk,E,20,34,154,128.3333333,6,154,154
csk,A,4,25,25,104.1666667,10,125,169
csk,B,8,25,50,104.1666667,9,125,169
csk,C,12,33,83,115.2777778,9,138.3333333,169
csk,D,16,40,123,128.125,8,153.75,169
csk,E,20,46,169,140.8333333,6,169,169
csk,A,4,40,40,166.6666667,10,200,200
csk,B,8,46,86,179.1666667,10,215,200
csk,C,12,28,114,158.3333333,9,190,200
csk,D,16,44,158,164.5833333,8,197.5,200
csk,E,20,42,200,166.6666667,7,200,200
csk,A,4,27,27,112.5,9,135,186
csk,B,8,22,49,102.0833333,9,122.5,186
csk,C,12,42,91,126.3888889,8,151.6666667,186
csk,D,16,41,132,137.5,7,165,186
csk,E,20,54,186,155,6,186,186
csk,A,4,26,26,108.3333333,10,130,223
csk,B,8,39,65,135.4166667,9,162.5,223
csk,C,12,46,111,154.1666667,9,185,223
csk,D,16,41,152,158.3333333,9,190,223
csk,E,20,71,223,185.8333333,7,223,223
csk,A,4,10,10,41.66666667,9,50,164
csk,B,8,31,41,85.41666667,8,102.5,164
csk,C,12,27,68,94.44444444,8,113.3333333,164
csk,D,16,46,114,118.75,7,142.5,164
csk,E,20,50,164,136.6666667,7,164,164
csk,A,4,22,22,91.66666667,10,110,141
csk,B,8,37,59,122.9166667,10,147.5,141
csk,C,12,27,86,119.4444444,9,143.3333333,141
csk,D,16,19,105,109.375,7,131.25,141
csk,E,20,36,141,117.5,6,141,141
csk,A,4,20,20,83.33333333,10,100,168
csk,B,8,43,63,131.25,9,157.5,168
csk,C,12,25,88,122.2222222,7,146.6666667,168
csk,D,16,37,125,130.2083333,7,156.25,168
csk,E,20,43,168,140,6,168,168
csk,A,4,29,29,120.8333333,10,145,192
csk,B,8,26,55,114.5833333,9,137.5,192
csk,C,12,39,94,130.5555556,7,156.6666667,192
csk,D,16,43,137,142.7083333,7,171.25,192
csk,E,20,55,192,160,6,192,192
csk,A,4,26,26,108.3333333,9,130,139
csk,B,8,34,60,125,8,150,139
csk,C,12,24,84,116.6666667,7,140,139
csk,D,16,18,102,106.25,6,127.5,139
csk,E,20,37,139,115.8333333,5,139,139
csk,A,4,18,18,75,9,90,120
csk,B,8,24,42,87.5,7,105,120
csk,C,12,15,57,79.16666667,6,95,120
csk,D,16,21,78,81.25,5,97.5,120
csk,E,20,42,120,100,3,120,120
csk,A,4,14,14,58.33333333,8,70,187
csk,B,8,27,41,85.41666667,8,102.5,187
csk,C,12,41,82,113.8888889,8,136.6666667,187
csk,D,16,46,128,133.3333333,5,160,187
csk,E,20,59,187,155.8333333,5,187,187
csk,A,4,31,31,129.1666667,10,155,222
csk,B,8,37,68,141.6666667,10,170,222
csk,C,12,47,115,159.7222222,9,191.6666667,222
csk,D,16,52,167,173.9583333,8,208.75,222
csk,E,20,55,222,185,5,222,222
csk,A,4,26,26,108.3333333,9,130,160
csk,B,8,43,69,143.75,9,172.5,160
csk,C,12,32,101,140.2777778,8,168.3333333,160
csk,D,16,28,129,134.375,6,161.25,160
csk,E,20,31,160,133.3333333,5,160,160
csk,A,4,31,31,129.1666667,10,155,190
csk,B,8,38,69,143.75,10,172.5,190
csk,C,12,35,104,144.4444444,9,173.3333333,190
csk,D,16,42,146,152.0833333,9,182.5,190
csk,E,20,44,190,158.3333333,7,190,190
csk,A,4,22,22,91.66666667,10,110,173
csk,B,8,38,60,125,8,150,173
csk,C,12,32,92,127.7777778,8,153.3333333,173
csk,D,16,46,138,143.75,7,172.5,173
csk,E,20,35,173,144.1666667,2,173,173
csk,A,4,27,27,112.5,9,135,176
csk,B,8,20,47,97.91666667,8,117.5,176
csk,C,12,38,85,118.0555556,7,141.6666667,176
csk,D,16,32,117,121.875,7,146.25,176
csk,E,20,59,176,146.6666667,6,176,176
csk,A,4,28,28,116.6666667,9,140,112
csk,B,8,34,62,129.1666667,8,155,112
csk,C,12,22,84,116.6666667,6,140,112
csk,D,16,15,99,103.125,4,123.75,112
csk,E,20,13,112,93.33333333,0,112,112
csk,A,4,20,20,83.33333333,9,100,193
csk,B,8,43,63,131.25,8,157.5,193
csk,C,12,30,93,129.1666667,7,155,193
csk,D,16,40,133,138.5416667,5,166.25,193
csk,E,20,60,193,160.8333333,4,193,193
csk,A,4,28,28,116.6666667,8,140,110
csk,B,8,25,53,110.4166667,7,132.5,110
csk,C,12,19,72,100,5,120,110
csk,D,16,11,83,86.45833333,5,103.75,110
csk,E,20,27,110,91.66666667,2,110,110
csk,A,4,30,30,125,10,150,155
csk,B,8,24,54,112.5,9,135,155
csk,C,12,33,87,120.8333333,7,145,155
csk,D,16,37,124,129.1666667,7,155,155
csk,E,20,30,154,128.3333333,5,154,155
csk,A,4,26,26,108.3333333,9,130,153
csk,B,8,37,63,131.25,9,157.5,153
csk,C,12,27,90,125,8,150,153
csk,D,16,31,121,126.0416667,8,151.25,153
csk,E,20,32,153,127.5,6,153,153
csk,A,4,13,13,54.16666667,8,65,188
csk,B,8,34,47,97.91666667,8,117.5,188
csk,C,12,47,94,130.5555556,8,156.6666667,188
csk,D,16,46,140,145.8333333,7,175,188
csk,E,20,48,188,156.6666667,6,188,188
csk,A,4,18,18,75,10,90,183
csk,B,8,48,66,137.5,9,165,183
csk,C,12,38,104,144.4444444,8,173.3333333,183
csk,D,16,33,137,142.7083333,8,171.25,183
csk,E,20,46,183,152.5,5,183,183
csk,A,4,19,19,79.16666667,9,95,131
csk,B,8,35,54,112.5,8,135,131
csk,C,12,33,87,120.8333333,8,145,131
csk,D,16,30,117,121.875,6,146.25,131
csk,E,20,14,131,109.1666667,6,131,131
csk,A,4,29,29,120.8333333,10,145,142
csk,B,8,29,58,120.8333333,10,145,142
csk,C,12,16,74,102.7777778,8,123.3333333,142
csk,D,16,35,109,113.5416667,8,136.25,142
csk,E,20,33,142,118.3333333,4,142,142
csk,A,4,20,20,83.33333333,9,100,165
csk,B,8,26,46,95.83333333,9,115,165
csk,C,12,31,77,106.9444444,9,128.3333333,165
csk,D,16,34,111,115.625,8,138.75,165
csk,E,20,54,165,137.5,5,165,165
csk,A,4,9,9,37.5,9,45,114
csk,B,8,16,25,52.08333333,8,62.5,114
csk,C,12,30,55,76.38888889,7,91.66666667,114
csk,D,16,26,81,84.375,7,101.25,114
csk,E,20,33,114,95,6,114,114
csk,A,4,34,34,141.6666667,10,170,196
csk,B,8,36,70,145.8333333,10,175,196
csk,C,12,32,102,141.6666667,9,170,196
csk,D,16,38,140,145.8333333,8,175,196
csk,E,20,56,196,163.3333333,7,196,196
csk,A,4,23,23,95.83333333,9,115,152
csk,B,8,28,51,106.25,8,127.5,152
csk,C,12,27,78,108.3333333,7,130,152
csk,D,16,36,114,118.75,6,142.5,152
csk,E,20,38,152,126.6666667,4,152,152
csk,A,4,17,17,70.83333333,8,85,128
csk,B,8,15,32,66.66666667,6,80,128
csk,C,12,16,48,66.66666667,6,80,128
csk,D,16,34,82,85.41666667,4,102.5,128
csk,E,20,46,128,106.6666667,2,128,128
csk,A,4,36,36,150,10,180,205
csk,B,8,37,73,152.0833333,10,182.5,205
csk,C,12,48,121,168.0555556,10,201.6666667,205
csk,D,16,46,167,173.9583333,9,208.75,205
csk,E,20,38,205,170.8333333,5,205,205
csk,A,4,33,33,137.5,9,165,240
csk,B,8,37,70,145.8333333,7,175,240
csk,C,12,57,127,176.3888889,7,211.6666667,240
csk,D,16,42,169,176.0416667,5,211.25,240
csk,E,20,71,240,200,5,240,240
csk,A,4,15,15,62.5,9,75,182
csk,B,8,22,37,77.08333333,8,92.5,182
csk,C,12,41,78,108.3333333,8,130,182
csk,D,16,59,137,142.7083333,8,171.25,182
csk,E,20,45,182,151.6666667,7,182,182
csk,A,4,22,22,91.66666667,9,110,178
csk,B,8,28,50,104.1666667,8,125,178
csk,C,12,33,83,115.2777778,7,138.3333333,178
csk,D,16,33,116,120.8333333,7,145,178
csk,E,20,62,178,148.3333333,5,178,178
csk,A,4,24,24,100,10,120,169
csk,B,8,39,63,131.25,9,157.5,169
csk,C,12,36,99,137.5,8,165,169
csk,D,16,32,131,136.4583333,8,163.75,169
csk,E,20,38,169,140.8333333,5,169,169
csk,A,4,25,25,104.1666667,10,125,211
csk,B,8,51,76,158.3333333,10,190,211
csk,C,12,32,108,150,8,180,211
csk,D,16,41,149,155.2083333,7,186.25,211
csk,E,20,62,211,175.8333333,6,211,211
csk,A,4,29,29,120.8333333,10,145,177
csk,B,8,47,76,158.3333333,9,190,177
csk,C,12,27,103,143.0555556,7,171.6666667,177
csk,D,16,28,131,136.4583333,6,163.75,177
csk,E,20,46,177,147.5,5,177,177
csk,A,4,16,16,66.66666667,7,80,109
csk,B,8,30,46,95.83333333,5,115,109
csk,C,12,30,76,105.5555556,5,126.6666667,109
csk,D,16,20,96,100,3,120,109
csk,E,20,13,109,90.83333333,0,109,109
csk,A,4,21,21,87.5,8,105,144
csk,B,8,29,50,104.1666667,6,125,144
csk,C,12,27,77,106.9444444,6,128.3333333,144
csk,D,16,18,95,98.95833333,4,118.75,144
csk,E,20,49,144,120,3,144,144
csk,A,4,27,27,112.5,8,135,181
csk,B,8,41,68,141.6666667,7,170,181
csk,C,12,41,109,151.3888889,7,181.6666667,181
csk,D,16,40,149,155.2083333,7,186.25,181
csk,E,20,32,181,150.8333333,6,181,181
csk,A,4,20,20,83.33333333,9,100,156
csk,B,8,22,42,87.5,8,105,156
csk,C,12,24,66,91.66666667,6,110,156
csk,D,16,36,102,106.25,6,127.5,156
csk,E,20,54,156,130,4,156,156
csk,A,4,29,29,120.8333333,10,145,163
csk,B,8,28,57,118.75,9,142.5,163
csk,C,12,30,87,120.8333333,8,145,163
csk,D,16,40,127,132.2916667,7,158.75,163
csk,E,20,36,163,135.8333333,5,163,163
csk,A,4,36,36,150,10,180,179
csk,B,8,49,85,177.0833333,10,212.5,179
csk,C,12,26,111,154.1666667,8,185,179
csk,D,16,33,144,150,7,180,179
csk,E,20,35,179,149.1666667,5,179,179
csk,A,4,38,38,158.3333333,9,190,165
csk,B,8,31,69,143.75,8,172.5,165
csk,C,12,31,100,138.8888889,8,166.6666667,165
csk,D,16,20,120,125,6,150,165
csk,E,20,45,165,137.5,4,165,165
csk,A,4,19,19,79.16666667,8,95,164
csk,B,8,36,55,114.5833333,8,137.5,164
csk,C,12,31,86,119.4444444,7,143.3333333,164
csk,D,16,22,108,112.5,6,135,164
csk,E,20,56,164,136.6666667,5,164,164
csk,A,4,28,28,116.6666667,10,140,163
csk,B,8,32,60,125,8,150,163
csk,C,12,46,106,147.2222222,8,176.6666667,163
csk,D,16,32,138,143.75,5,172.5,163
csk,E,20,25,163,135.8333333,10,163,163
csk,A,4,34,34,141.6666667,10,170,178
csk,B,8,34,68,141.6666667,9,170,178
csk,C,12,31,99,137.5,9,165,178
csk,D,16,38,137,142.7083333,8,171.25,178
csk,E,20,41,178,148.3333333,7,178,178
csk,A,4,35,35,145.8333333,9,175,185
csk,B,8,35,70,145.8333333,9,175,185
csk,C,12,30,100,138.8888889,8,166.6666667,185
csk,D,16,54,154,160.4166667,8,192.5,185
csk,E,20,31,185,154.1666667,7,185,185
csk,A,4,32,32,133.3333333,9,160,129
csk,B,8,27,59,122.9166667,8,147.5,129
csk,C,12,34,93,129.1666667,8,155,129
csk,D,16,14,107,111.4583333,6,133.75,129
csk,E,20,22,129,107.5,0,129,129
csk,A,4,33,33,137.5,10,165,189
csk,B,8,31,64,133.3333333,9,160,189
csk,C,12,39,103,143.0555556,9,171.6666667,189
csk,D,16,34,137,142.7083333,7,171.25,189
csk,E,20,52,189,157.5,7,189,189
csk,A,4,35,35,145.8333333,10,175,116
csk,B,8,26,61,127.0833333,8,152.5,116
csk,C,12,18,79,109.7222222,6,131.6666667,116
csk,D,16,21,100,104.1666667,4,125,116
csk,E,20,16,116,96.66666667,1,116,116
csk,A,4,35,35,145.8333333,10,175,146
csk,B,8,33,68,141.6666667,9,170,146
csk,C,12,16,84,116.6666667,8,140,146
csk,D,16,30,114,118.75,7,142.5,146
csk,E,20,32,146,121.6666667,5,146,146
csk,A,4,0,15,62.5,10,0,132
csk,B,8,0,63,131.25,10,0,132
csk,C,12,0,89,123.61,8,0,132
csk,D,16,0,105,109.375,5,0,132
csk,E,20,0,132,110,5,0,132
